% f evaluations | g evaluations | best noise-free fitness - Fopt (3.590000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
58436 0 +2.638423342e+04 +2.642013342e+04 +2.642013342e+04 +0.0000e+00 +3.0000e+00 +3.0000e+00 +1.0000e+00 -2.0000e+00 -4.0000e+00 +0.0000e+00 -2.0000e+00 +0.0000e+00 -3.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 -4.0000e+00 +0.0000e+00 +4.0000e+00 -1.0000e+00 -2.0000e+00
78226 0 +2.480169975e+04 +2.483759975e+04 +2.483759975e+04 +0.0000e+00 +3.0000e+00 +3.0000e+00 +1.0000e+00 -2.0000e+00 -5.0000e+00 +0.0000e+00 -3.0000e+00 +0.0000e+00 -2.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 -4.0000e+00 +0.0000e+00 +4.0000e+00 -2.0000e+00 -2.0000e+00
81823 0 +2.296392373e+04 +2.299982373e+04 +2.299982373e+04 +0.0000e+00 +3.0000e+00 +3.0000e+00 +1.0000e+00 -2.0000e+00 -4.0000e+00 +0.0000e+00 -3.0000e+00 +0.0000e+00 -3.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 -4.0000e+00 +0.0000e+00 +4.0000e+00 -1.0000e+00 -2.0000e+00
85326 0 +2.167995459e+04 +2.171585459e+04 +2.171585459e+04 +0.0000e+00 +2.0000e+00 +3.0000e+00 +2.0000e+00 -2.0000e+00 -4.0000e+00 +0.0000e+00 -2.0000e+00 +0.0000e+00 -2.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +3.0000e+00 -4.0000e+00 +0.0000e+00 +4.0000e+00 -1.0000e+00 -2.0000e+00
85438 0 +2.116661038e+04 +2.120251038e+04 +2.120251038e+04 +0.0000e+00 +2.0000e+00 +3.0000e+00 +2.0000e+00 -2.0000e+00 -4.0000e+00 +0.0000e+00 -2.0000e+00 +0.0000e+00 -2.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 -4.0000e+00 +0.0000e+00 +4.0000e+00 -2.0000e+00 -2.0000e+00
86765 0 +1.891508917e+04 +1.895098917e+04 +1.895098917e+04 +0.0000e+00 +3.0000e+00 +3.0000e+00 +2.0000e+00 -2.0000e+00 -4.0000e+00 +0.0000e+00 -2.0000e+00 +0.0000e+00 -2.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 -4.0000e+00 +0.0000e+00 +4.0000e+00 -2.0000e+00 -2.0000e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.137000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.777288378e+05 +3.777602078e+05 +3.777602078e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +3.745371567e+05 +3.745685267e+05 +3.745685267e+05 +4.1138e+00 +6.4217e-01 -6.8831e-01 +4.1601e+00 -3.0241e+00 -3.9056e-01 +4.4094e+00 +4.3039e+00 -1.5355e+00 -1.5320e+00 +1.1760e+00 -3.2482e+00 +5.1451e-01 -3.5561e+00 -1.3917e+00 +2.2240e+00 +1.9447e+00 +1.7430e+00 -7.3573e-01 -3.1185e+00
30 0 +2.181954303e+05 +2.182268003e+05 +2.182268003e+05 +4.8326e+00 +1.4000e+00 -3.8960e+00 +1.9839e+00 -1.8282e+00 -4.1256e+00 -8.8575e-01 -1.5159e+00 +2.4268e+00 -2.4455e+00 -3.3925e+00 +2.3283e+00 -1.6665e+00 -3.1294e+00 +4.6168e+00 +2.0875e+00 +4.4146e+00 +4.1084e+00 -1.7200e+00 -1.9770e+00
